college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Upper Iowa,Upper Iowa,389,1,nfl,,,,,,
Utah,Utah,254,172,"nfl, nba, mlb",utes,utah utes,,,,
Utah State,Utah State,328,87,"nfl, nba",utah st,,,,,
Utah Tech,Utah Tech,3101,3,"nfl, mlb",,,,,,
Utah Valley,Utah Valley,3084,1,mlb,,,,,,
VCU,VCU,2670,8,"nfl, nba, mlb",virginia commonwealth,virginia commonwealth university,virginia commonwealth u,rams,,
VMI,VMI,2678,3,"nfl, mlb",virginia military institute,virginia military,,,,
Valdosta State,Valdosta State,2673,20,nfl,valdosta st,,,,,
Valparaiso,Valparaiso,2674,2,mlb,valpo,,,,,
Vanderbilt,Vanderbilt,238,153,"nfl, nba, mlb",vandy,,,,,
Vanguard,Vanguard,2585,1,mlb,,,,,,
Vermont,Vermont,261,2,nhl,,,,,,
Villanova,Villanova,222,49,"nfl, nba, mlb",nova,,,,,
Virginia,Virginia,258,195,"nfl, nba, mlb",uva,university of virginia,,,,
Virginia State,Virginia State,330,6,nfl,uva state,virginia st,,,,
Virginia Tech,Virginia Tech,259,190,"nfl, nba, mlb",va tech,,,,,
Virginia Union,Virginia Union,2676,2,nfl,uva union,union,,,,
Wagner,Wagner,2681,16,"nfl, nba, mlb",,,,,,
Wake Forest,Wake Forest,154,134,"nfl, nba, mlb",wf,wake,demon deacons,,,
Wallace State CC,Wallace State CC,3176,2,mlb,wallace st,wallace state,wallace st cc,,,
Walsh,Walsh,2682,1,nfl,,,,,,
Walters State Community,Walters State Community College,110475,2,mlb,walters,walters state,walters st,walters cc,,
Washburn,Washburn,2687,9,nfl,,,,,,
Washington,Washington,264,229,"nfl, nba, mlb",uw,,,,,
Washington State,Washington State,265,136,"nfl, nba, mlb",uw state,uw st,wash st,wash state,washington st,
Washington University-St. Louis,Washington University-St. Louis,143,1,nfl,wustl,washu,washington,washington st louis,,
Waterloo,Waterloo,2786,3,nfl,,,,,,
Wayne State (MI),Wayne State (MI),131,8,"nfl, mlb",wayne st,wayne state,wayne state university,wayne st university,,
Wayne State (NE),Wayne State (NE),2844,3,nfl,wayne st,wayne state,wayne state university,wayne st university,,
Weatherford Coll. TX (J.C.),Weatherford Coll. TX (J.C.),110477,2,mlb,weatherford,weatherford college,,,,
Webber International,Webber International,2691,1,nfl,webber,,,,,
Weber State,Weber State,2692,27,"nfl, nba",weber st,,,,,
Wesley College,Wesley College,2846,2,nfl,wesley,,,,,
Wesleyan University (CT),Wesleyan University (CT),336,1,nfl,wesleyan,wesleyan u,wesleyan university,,,
West Alabama,West Alabama,2695,9,"nfl, mlb",w alabama,,,,,
West Chester,West Chester,223,7,"nfl, mlb",westchester,,,,,
West Florida,West Florida,2697,6,nfl,w florida,western florida,,,,
West Georgia,West Georgia,2698,12,"nfl, mlb",w georgia,western georgia,,,,
West Texas A&M,West Texas A&M,2704,25,"nfl, mlb",western texas am,western texas a&m,west texas state,west texas state university,west texas st,west texas st university
West Virginia,West Virginia,277,178,"nfl, nba, mlb",wvu,west va,mountaineers,,,
West Virginia Wesleyan,West Virginia Wesleyan,455,1,nfl,wv wesleyan,,,,,
Western Carolina,Western Carolina,2717,28,"nfl, mlb",wcu,west carolina,,,,
Western Colorado,Western Colorado,2714,1,nfl,west colorado,,,,,
Western Illinois,Western Illinois,2710,28,"nfl, mlb",western ill,west illinois,,,,
Western Kentucky,Western Kentucky,98,57,"nfl, nba, mlb",wku,west kentucky,western ky,,,
Western Michigan,Western Michigan,2711,73,"nfl, nhl, mlb",wmu,broncos,western,western mich,,
Western New Mexico,Western New Mexico,2703,2,nfl,west new mexico,w new mexico,,,,
Western Oklahoma State,Western Oklahoma State,110485,3,mlb,western ok state,west oklahoma state,western ok st,west oklahoma st,,
Western Ontario,Western Ontario,2787,2,nfl,ontario,w ontario,,,,
Western Oregon,Western Oregon,2848,5,"nfl, mlb",west oregon,,,,,
Western Texas Coll. (J.C.),Western Texas Coll. (J.C.),110486,1,nba,western texas,,,,,
Western Washington,Western Washington,2847,2,nfl,west washington,,,,,
Westminster (UT),Westminster (UT),224,1,nfl,westminster,,,,,
Westmont,Westmont,2716,2,mlb,,,,,,
Wharton Co. JC TX,Wharton Co. JC TX,110488,1,mlb,wharton,,,,,
Wheaton,Wheaton,396,2,nfl,,,,,,
Wheeling Jesuit,Wheeling Jesuit,2719,1,nba,wheeling,jesuit,,,,
Wichita State,Wichita State,2724,15,"nfl, nba, mlb",wichita st,,,,,
Wilfred Laurier,Wilfred Laurier,2910,1,nfl,wildfred,laurier,,,,
William & Mary,William & Mary,2729,33,"nfl, mlb",william and mary,william mary,,,,
William Penn,William Penn,2912,2,nfl,,,,,,
Williams,Williams,2731,1,nfl,,,,,,
Wingate,Wingate,351,4,nfl,,,,,,
Winona State,Winona State,2851,1,nfl,winona st,,,,,
Winston-Salem State,Winston-Salem State,2736,4,nfl,winston salem st,winston salem state,,,,
Winthrop,Winthrop,2737,1,mlb,,,,,,
Wisconsin,Wisconsin,275,227,"nfl, nhl, nba",wisco,,,,,
Wisconsin-Eau Claire,Wisconsin-Eau Claire,2738,1,nfl,wisconsin eau claire,wisconsin ec,uw eau claire,,,
Wisconsin-La Crosse,Wisconsin-La Crosse,2740,1,mlb,wisconsin la crosse,wisconsin lc,uw la crosse,,,
Wisconsin-Oshkosh,Wisconsin-Oshkosh,271,1,nfl,wisconsin la oshkosh,wisconsin o,uw oshkosh,,,
Wisconsin-Platteville,Wisconsin-Platteville,272,2,nfl,wisconsin platteville,wisconsin p,uw plateville,,,
Wisconsin-River Falls,Wisconsin-River Falls,2723,1,nfl,wisconsin river falls,wisconsin rf,uw river falls,,,
Wisconsin-Stevens Point,Wisconsin-Stevens Point,2743,2,mlb,wisconsin stevens point,wisconsin sp,uw stevens point,,,
Wisconsin-Stout,Wisconsin-Stout,2744,1,nfl,wisconsin stout,wisconsin s,uw stout,,,
Wisconsin-Whitewater,Wisconsin-Whitewater,2745,4,nfl,wisconsin whitewater,wisconsin w,uw whitewater,,,
Wofford,Wofford,2747,9,"nfl, mlb",,,,,,
Wright State,Wright State,2750,7,mlb,wright st,,,,,
Wyoming,Wyoming,2751,63,"nfl, nba",,,,,,
Xavier,Xavier,2752,11,"nba, mlb",xu,,,,,
Yale,Yale,43,20,"nfl, nhl, nba, mlb",,,,,,
Yavapai College,Yavapai College,110494,7,mlb,yavapai,,,,,
Youngstown State,Youngstown State,2754,24,nfl,youngstown,youngstown st,,,,
