college,display_name,collegeId,n_players,leagues,variant_1,variant_2,variant_3,variant_4,variant_5,variant_6
Columbia,Columbia,171,7,"nfl, mlb",,,,,,
Columbia College (SC),Columbia College (SC),504,2,nfl,columbia,columbia college,columbia college south carolina,columbia college sc,,
Concordia Canada,Concordia Canada,2933,2,nfl,concordia,,,,,
Concordia College (AL),Concordia College (AL),3099,1,nfl,concordia,concordia alabama,concordia al,,,
Concordia-Irvine,Concordia-Irvine,506,8,nfl,concordia,concordia irvine,,,,
Concordia-Moorhead,Concordia-Moorhead,2152,2,nfl,concordia,concordia moorhead,,,,
Concordia-St. Paul,Concordia-St. Paul,3066,5,"nfl, mlb",concordia,concordia st paul,,,,
Connecticut College,Connecticut College,39,24,nfl,Connecticut,,,,,
Connors State,Connors State,110091,1,mlb,connor state,connor st,connors st,,,
Cornell,Cornell,172,18,"nfl, nhl",,,,,,
Cornerstone University,Cornerstone University,508,12,nfl,cornerstone,,,,,
Cortland,Cortland,2782,2,nfl,,,,,,
Cowley,Cowley,283,1,mlb,,,,,,
Creighton,Creighton,156,12,"nba, mlb",,,,,,
Crowder,Crowder,110096,1,mlb,,,,,,
Crown College,Crown College,509,6,nfl,crown,,,,,
Culver-Stockton College,Culver-Stockton College,510,5,nfl,culver stockton college,culver stockton,,,,
Cumberland (KY),Cumberland (KY),511,4,nfl,cumberland,cumberland ky,cumberland kentucky,,,
Cumberland (TN),Cumberland (TN),2161,1,mlb,cumberland,cumberland tn,cumberland tennessee,,,
Cypress Coll. CA (J.C.),Cypress Coll. CA (J.C.),110099,2,mlb,cypress,cypress college,,,,
Dakota Wesleyan,Dakota Wesleyan,513,1,nfl,dakota,,,,,
Dallas Baptist,Dallas Baptist,514,29,"nfl, mlb",,,,,,
Dana,Dana,515,2,nfl,,,,,,
Dartmouth,Dartmouth,159,20,"nfl, nhl, mlb",,,,,,
Davenport University,Davenport University,3092,1,nfl,davenport,,,,,
David Lipscomb University,David Lipscomb University,110102,3,mlb,lipscomb,,,,,
Davidson,Davidson,2166,1,mlb,,,,,,
Dayton,Dayton,2168,11,"nfl, nba, mlb",,,,,,
Daytona State,Daytona State,110103,1,mlb,daytona st,,,,,
DePaul,DePaul,305,3,nba,,,,,,
Deakin (Australia),Deakin (Australia),110106,1,nfl,deakin,deakin australia,,,,
Delaware,Delaware,48,41,"nfl, mlb",,,,,,
Delaware State,Delaware State,2169,8,nfl,delaware st,,,,,
Delaware Valley,Delaware Valley,2808,1,nfl,,,,,,
Delta State,Delta State,2170,5,"nfl, mlb",delta st,,,,,
Denver,Denver,2172,27,nhl,du,,,,,
Des Moines CC IA,Des Moines CC IA,110111,1,mlb,des moines,des moines community college,,,,
Dickinson (PA),Dickinson (PA),2175,2,nfl,dickinson,dickinson pa,dickinson pennsylvania,,,
Dordt University,Dordt University,517,10,nfl,dordt,,,,,
Drake,Drake,2181,5,"nfl, nba",,,,,,
Drury,Drury,2183,1,mlb,,,,,,
Duke,Duke,150,133,"nfl, nba, mlb",blue devils,,,,,
Duquesne,Duquesne,2184,7,nfl,,,,,,
East Carolina,East Carolina,151,98,"nfl, mlb",ecu,,,,,
East Central (OK),East Central (OK),2191,6,nfl,east central oklahoma,east central ok,,,,
East Central CC MS,East Central CC MS,110116,1,mlb,east central community college,east central,,,,
East Central Univers,East Central Univers,518,7,nfl,east central,east central university,,,,
East Stroudsburg,East Stroudsburg,2188,3,"nfl, mlb",,,,,,
East Tennessee State,East Tennessee State,2193,6,"nfl, mlb",etsu,East Tennessee st,e tennessee st,e tennessee state,,
East Texas A&M,East Texas A&M,2837,13,nfl,east texas,,,,,
East Texas Baptist,East Texas Baptist,2194,2,nfl,east texas,,,,,
Eastern Illinois,Eastern Illinois,2197,20,"nfl, mlb",east illinois,eastern ill,,,,
Eastern Kentucky,Eastern Kentucky,2198,31,"nfl, mlb",eastern kentucky university,e kentucky,,,,
Eastern Michigan,Eastern Michigan,2199,49,"nfl, nba, mlb",emu,,,,,
Eastern New Mexico,Eastern New Mexico,2201,2,nfl,enm,east new mexico,,,,
Eastern Oklahoma State (J.C.),Eastern Oklahoma State (J.C.),110121,1,mlb,eastern oklahoma state,eastern oklahoma st,e oklahoma state,e oklahoma st,,
Eastern Oregon,Eastern Oregon,2202,1,nfl,e oregon,east oregon,,,,
Eastern Washington,Eastern Washington,331,34,nfl,east washington,,,,,
Elizabeth City State,Elizabeth City State,2207,2,nfl,elizabeth city st,,,,,
Elon,Elon,2210,19,"nfl, mlb",,,,,,
Embry-Riddle (FL),Embry-Riddle (FL),520,4,"nfl, mlb",embry,embry riddle,embry riddle fl,,,
Embry-Riddle Aeronau,Embry-Riddle Aeronautical,519,4,nfl,embry,embry riddle,embry riddle aeronau,,,
Emmanuel (GA),Emmanuel (GA),521,1,nfl,emmanuel,,,,,
Emporia State,Emporia State,2214,6,nfl,emporia,emporia st,,,,
Evangel,Evangel,2865,2,nfl,,,,,,
Evansville,Evansville,339,3,mlb,,,,,,
Everett CC WA,Everett CC WA,110128,1,mlb,everett,,,,,
FLA Southern,Florida Southern,51,2,mlb,florida southern,fl southern,,,,
Fairfield,Fairfield,2217,1,mlb,,,,,,
Fairmont State,Fairmont State,2986,3,nfl,fairmont,fairmont st,,,,
Faulkner,Faulkner,2219,2,mlb,,,,,,
Fayetteville State,Fayetteville State,2220,5,nfl,fayetteville,fayetteville st,,,,
Ferris State,Ferris State,2222,18,nfl,ferris,,,,,
Ferrum,Ferrum,366,2,nfl,,,,,,
Findlay,Findlay,2224,5,nfl,,,,,,
Finlandia University,Finlandia University,523,1,nfl,finlandia,,,,,
Fisher College,Fisher College,524,1,nfl,fisher,,,,,
